probe_id,model_key,base_model,sae_repo,layer_index,feature_id,feature_rank,candidate_dimension,expected_direction,original_activation,counterfactual_activation,delta,observed_direction,target_dimensions,added_dimensions,removed_dimensions,note
workspace_pressure__routine_quiet_study_pick__vs__complex_study_tool_conflict_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1001,,constraint_conflict,increase,,,,,"constraint_conflict, evidence_integration, instrumental_focus, repair, uncertainty","constraint_conflict, evidence_integration, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_quiet_study_pick__vs__complex_study_tool_conflict_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1002,,evidence_integration,increase,,,,,"constraint_conflict, evidence_integration, instrumental_focus, repair, uncertainty","constraint_conflict, evidence_integration, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_quiet_study_pick__vs__complex_study_tool_conflict_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1003,,instrumental_focus,inspect,,,,,"constraint_conflict, evidence_integration, instrumental_focus, repair, uncertainty","constraint_conflict, evidence_integration, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_quiet_study_pick__vs__complex_study_tool_conflict_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1004,,repair,increase,,,,,"constraint_conflict, evidence_integration, instrumental_focus, repair, uncertainty","constraint_conflict, evidence_integration, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_quiet_study_pick__vs__complex_study_tool_conflict_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1005,,uncertainty,increase,,,,,"constraint_conflict, evidence_integration, instrumental_focus, repair, uncertainty","constraint_conflict, evidence_integration, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_party_energy_pick__vs__complex_party_feedback_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1006,,constraint_balance,increase,,,,,"constraint_balance, goal_maintenance, party_warmup_groove, rave_hard_energy, repair","constraint_balance, goal_maintenance, party_warmup_groove, repair",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_party_energy_pick__vs__complex_party_feedback_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1007,,goal_maintenance,increase,,,,,"constraint_balance, goal_maintenance, party_warmup_groove, rave_hard_energy, repair","constraint_balance, goal_maintenance, party_warmup_groove, repair",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_party_energy_pick__vs__complex_party_feedback_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1008,,party_warmup_groove,increase,,,,,"constraint_balance, goal_maintenance, party_warmup_groove, rave_hard_energy, repair","constraint_balance, goal_maintenance, party_warmup_groove, repair",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_party_energy_pick__vs__complex_party_feedback_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1009,,rave_hard_energy,inspect,,,,,"constraint_balance, goal_maintenance, party_warmup_groove, rave_hard_energy, repair","constraint_balance, goal_maintenance, party_warmup_groove, repair",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_party_energy_pick__vs__complex_party_feedback_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1010,,repair,increase,,,,,"constraint_balance, goal_maintenance, party_warmup_groove, rave_hard_energy, repair","constraint_balance, goal_maintenance, party_warmup_groove, repair",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_night_drive_pick__vs__complex_night_drive_playlist_planning,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1011,,constraint_balance,increase,,,,,"constraint_balance, low_energy_quiet, novelty_discovery, rain_night_drive, sequence_planning, solitude_melancholy","constraint_balance, novelty_discovery, sequence_planning",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_night_drive_pick__vs__complex_night_drive_playlist_planning,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1012,,low_energy_quiet,inspect,,,,,"constraint_balance, low_energy_quiet, novelty_discovery, rain_night_drive, sequence_planning, solitude_melancholy","constraint_balance, novelty_discovery, sequence_planning",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_night_drive_pick__vs__complex_night_drive_playlist_planning,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1013,,novelty_discovery,increase,,,,,"constraint_balance, low_energy_quiet, novelty_discovery, rain_night_drive, sequence_planning, solitude_melancholy","constraint_balance, novelty_discovery, sequence_planning",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_night_drive_pick__vs__complex_night_drive_playlist_planning,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1014,,rain_night_drive,inspect,,,,,"constraint_balance, low_energy_quiet, novelty_discovery, rain_night_drive, sequence_planning, solitude_melancholy","constraint_balance, novelty_discovery, sequence_planning",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_night_drive_pick__vs__complex_night_drive_playlist_planning,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1015,,sequence_planning,increase,,,,,"constraint_balance, low_energy_quiet, novelty_discovery, rain_night_drive, sequence_planning, solitude_melancholy","constraint_balance, novelty_discovery, sequence_planning",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_night_drive_pick__vs__complex_night_drive_playlist_planning,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1016,,solitude_melancholy,inspect,,,,,"constraint_balance, low_energy_quiet, novelty_discovery, rain_night_drive, sequence_planning, solitude_melancholy","constraint_balance, novelty_discovery, sequence_planning",,dry-run placeholder; replace with real SAE observations
